Operator ID	Name	Country	Bundle
----------------------------------------
1160	012Talk Israel	Israel	No
876	88Mobile PIN Netherlands	Netherlands	No
340	9Mobile (Etisalat) Nigeria	Nigeria	No
645	9Mobile (Etisalat) Nigeria Data	Nigeria	No
1215	9Mobile Nigeria Special Bundle	Nigeria	No
1	Afghan Wireless Afghanistan	Afghanistan	No
783	Africell DRC	The Democratic Republic Of Congo	No
140	Africell Gambia	Gambia	No
724	Africell Gambia Data	Gambia	No
431	Africell Sierra Leone	Sierra Leone	No
549	Airlink Mobile PIN USA	United States	No
26	Airtel Bangladesh	Bangladesh	No
837	Airtel Bangladesh Bundles	Bangladesh	Yes
689	Airtel Bangladesh Data	Bangladesh	No
1009	Airtel DRC	The Democratic Republic Of Congo	No
1015	Airtel Gabon	Gabon	No
200	Airtel India	India	No
775	Airtel India Bundles	India	Yes
265	Airtel Kenya	Kenya	No
281	Airtel Madagascar	Madagascar	No
282	Airtel Malawi	Malawi	No
640	Airtel Niger	Niger	No
342	Airtel Nigeria	Nigeria	No
1256	Airtel Nigeria Bundle	Nigeria	Yes
646	Airtel Nigeria Data	Nigeria	No
1214	Airtel Nigeria Special Bundle	Nigeria	No
474	Airtel Sri Lanka	Sri Lanka	No
1179	Airtel Sri Lanka Bundles	Sri Lanka	Yes
489	Airtel Tanzania	Tanzania	No
516	Airtel Uganda	Uganda	No
1172	Airtel Uganda Bundles	Uganda	Yes
1152	Airtel uganda Data	Uganda	No
609	Airtel Zambia	Zambia	No
153	Airtel-Tigo Ghana	Ghana	No
772	Airtel-Tigo Rwanda	Rwanda	No
567	Airvoice Feel Safe PIN USA	United States	No
557	Airvoice GSM PIN USA	United States	No
500	AIS Thailand	Thailand	No
1019	ALB Telecom Albania	Albania	No
1017	Alfa Lebanon PIN	Lebanon	No
727	Aliv Bahamas	Bahamas	No
66	Alou Cape Verde	Cape Verde	No
1231	Alou Cape Verde Data	Cape Verde	No
693	Altel Malaysia	Malaysia	No
1301	Altice (Orange) DR Special Bundle	Dominican Republic	No
110	Altice DR	Dominican Republic	No
1241	Altice DR Bundles	Dominican Republic	Yes
1248	Amaysim Australia	Australia	No
626	Amigo Mexico Data	Mexico	No
623	Amigo Sin Límite	Mexico	No
1136	ASDA England PIN	United Kingdom	No
246	Asia Cell Telecom Iraq	Iraq	No
1237	AT&T Liberty Puerto Rico	Puerto Rico	No
295	AT&T Mexico Retail	Mexico	No
935	AT&T Mexico USD	Mexico	No
967	AT&T PIN USA	United States	No
554	AT&T RTR USA	United States	No
321	ATOM Myanmar	Myanmar	No
796	ATOM Myanmar Data	Myanmar	No
926	Auchan Telecom France Data	France	No
89	Avantel Colombia	Colombia	No
